DÍA,FECHA,PRECIP_mm
349,15/12/2013,4.8
350,16/12/2013,0.3
351,17/12/2013,1.3
352,18/12/2013,1.7
353,19/12/2013,0
354,20/12/2013,0
355,21/12/2013,0
356,22/12/2013,1
357,23/12/2013,0
358,24/12/2013,0.6
359,25/12/2013,9.3
360,26/12/2013,4
361,27/12/2013,0
362,28/12/2013,10.4
363,29/12/2013,0.4
364,30/12/2013,0
365,31/12/2013,0.4
